"id-mapa","anio","mes","dia","fecha","franja","tipo","subtipo","uso_arma","uso_moto","barrio","comuna","latitud","longitud","cantidad"
500003,2018,"AGOSTO","DOMINGO","2018-08-05",16,"Robo","Robo total","NO","NO","RETIRO",1,-34.5807762,-58.3871884999999,1
500006,2018,"AGOSTO","LUNES","2018-08-06",17,"Robo","Robo total","NO","NO","RETIRO",1,-34.5807762,-58.3871884999999,1
500009,2018,"AGOSTO","MIERCOLES","2018-08-08",22,"Robo","Robo total","NO","NO","RETIRO",1,-34.5807762,-58.3871884999999,1
500012,2018,"AGOSTO","MIERCOLES","2018-08-08",15,"Robo","Robo total","NO","NO","RETIRO",1,-34.595628,-58.386597,1
500015,2018,"AGOSTO","VIERNES","2018-08-10",12,"Robo","Robo total","SI","NO","RETIRO",1,-34.581095,-58.38579,1
500018,2018,"AGOSTO","VIERNES","2018-08-10",14,"Robo","Robo total","NO","NO","RETIRO",1,-34.595678,-58.385755,1
500021,2018,"AGOSTO","DOMINGO","2018-08-05",16,"Robo","Robo total","NO","NO","RETIRO",1,-34.5978129,-58.385482,1
500024,2018,"AGOSTO","MIERCOLES","2018-08-08",18,"Robo","Robo total","NO","NO","RETIRO",1,-34.599226,-58.385479,1
500027,2018,"AGOSTO","VIERNES","2018-08-03",4,"Robo","Robo total","NO","NO","RETIRO",1,-34.5965445,-58.3852839,1
500030,2018,"AGOSTO","LUNES","2018-08-06",21,"Robo","Robo total","NO","NO","RETIRO",1,-34.594462,-58.385154,1
500033,2018,"AGOSTO","VIERNES","2018-08-10",20,"Robo","Robo total","SI","NO","RETIRO",1,-34.595556,-58.385113,1
500036,2018,"AGOSTO","VIERNES","2018-08-10",15,"Robo","Robo total","NO","NO","RETIRO",1,-34.595591,-58.384307,1
500039,2018,"AGOSTO","VIERNES","2018-08-03",13,"Robo","Robo total","NO","NO","RETIRO",1,-34.591072,-58.383774,1
500042,2018,"AGOSTO","MIERCOLES","2018-08-08",7,"Robo","Robo total","NO","NO","RETIRO",1,-34.583319,-58.382439,1
