"id-mapa","anio","mes","dia","fecha","franja","tipo","subtipo","uso_arma","uso_moto","barrio","comuna","latitud","longitud","cantidad"
1368187,"2023","JUNIO","JUEVES","2023-06-22",14,"Hurto","Hurto total","NO","NO","BALVANERA",3,"-34.613823","-58.391717",1
1368188,"2023","ABRIL","LUNES","2023-04-10",21,"Robo","Robo total","NO","NO","BALVANERA",3,"-34.61615818","-58.39167809",1
1368189,"2023","JUNIO","JUEVES","2023-06-29",20,"Robo","Robo total","SI","SI","BALVANERA",3,"-34.615724","-58.391661",1
1368190,"2023","AGOSTO","LUNES","2023-08-14",17,"Hurto","Hurto total","NO","NO","BALVANERA",3,"-34.615698","-58.391665",1
1368191,"2023","MAYO","MIERCOLES","2023-05-31",7,"Robo","Robo total","NO","NO","BALVANERA",3,"-34.615698","-58.391665",1
1368192,"2023","SEPTIEMBRE","VIERNES","2023-09-15",15,"Robo","Robo total","NO","NO","MONSERRAT",1,"-34.60977716","-58.3848555",1
1368193,"2023","FEBRERO","JUEVES","2023-02-16",13,"Robo","Robo total","NO","NO","MONSERRAT",1,"-34.609874","-58.38461",1
1368194,"2023","JULIO","SABADO","2023-07-08",20,"Robo","Robo total","NO","NO","MONSERRAT",1,"-34.611027","-58.384703",1
1368195,"2023","JULIO","LUNES","2023-07-24",22,"Hurto","Hurto total","NO","NO","MONSERRAT",1,"-34.611021","-58.384817",1
1368196,"2023","SEPTIEMBRE","SABADO","2023-09-23",0,"Robo","Robo total","NO","NO","MONSERRAT",1,"-34.610874","-58.384794",1
1368197,"2023","NOVIEMBRE","VIERNES","2023-11-10",14,"Robo","Robo total","NO","SI","MONSERRAT",1,"-34.611005","-58.384317",1
1368198,"2023","JUNIO","MIERCOLES","2023-06-21",13,"Hurto","Hurto total","NO","NO","MONSERRAT",1,"-34.611003","-58.384823",1
1368199,"2023","OCTUBRE","JUEVES","2023-10-12",22,"Robo","Robo total","NO","NO","MONSERRAT",1,"-34.6099","-58.38499",1
1368200,"2023","MAYO","VIERNES","2023-05-19",9,"Hurto","Hurto total","NO","NO","MONSERRAT",1,"-34.61099","-58.38433633",1
1368201,"2023","MAYO","VIERNES","2023-05-05",21,"Hurto","Hurto total","NO","NO","BOEDO",5,"-34.63070949","-58.41328081",1
1368202,"2023","MARZO","SABADO","2023-03-11",2,"Robo","Robo total","NO","SI","MONSERRAT",1,"-34.611003","-58.384823",1
1368203,"2023","DICIEMBRE","JUEVES","2023-12-07",20,"Robo","Robo total","NO","NO","MONSERRAT",1,"-34.611021","-58.384817",1
1368204,"2023","JULIO","LUNES","2023-07-17",2,"Robo","Robo total","NO","NO","MONSERRAT",1,"-34.609874","-58.38461",1
1368205,"2023","ENERO","LUNES","2023-01-30",23,"Robo","Robo total","NO","SI","MONSERRAT",1,"-34.609858","-58.384828",1
1368206,"2023","FEBRERO","VIERNES","2023-02-24",10,"Robo","Robo total","NO","NO","MONSERRAT",1,"-34.609874","-58.38461",1
1368207,"2023","FEBRERO","SABADO","2023-02-25",12,"Robo","Robo total","NO","NO","MONSERRAT",1,"-34.60991479","-58.38504406",1
1368208,"2023","SEPTIEMBRE","JUEVES","2023-09-21",16,"Robo","Robo total","NO","NO","FLORESTA",10,"-34.631227","-58.476605",1
1368209,"2023","MAYO","SABADO","2023-05-20",23,"Hurto","Hurto total","NO","NO","MONSERRAT",1,"-34.60988104","-58.38456105",1
1368210,"2023","JUNIO","SABADO","2023-06-03",11,"Robo","Robo total","NO","NO","MONSERRAT",1,"-34.609634","-58.384874",1
1368211,"2023","MAYO","JUEVES","2023-05-25",9,"Robo","Robo total","NO","NO","MONSERRAT",1,"-34.610248","-58.384792",1
1368212,"2023","OCTUBRE","JUEVES","2023-10-19",21,"Robo","Robo total","NO","NO","MONSERRAT",1,"-34.609858","-58.384828",1
1368213,"2023","MARZO","JUEVES","2023-03-16",1,"Hurto","Hurto total","NO","NO","MONSERRAT",1,"-34.60958104","-58.38484786",1
1368214,"2023","JUNIO","VIERNES","2023-06-30",11,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.609059","-58.389819",1
1368215,"2023","NOVIEMBRE","SABADO","2023-11-04",23,"Hurto","Hurto total","NO","NO","BALVANERA",3,"-34.610339","-58.391882",1
1368216,"2023","ENERO","JUEVES","2023-01-05",14,"Hurto","Hurto total","NO","NO","MONSERRAT",1,"-34.60922043","-58.39069873",1
1368217,"2023","JUNIO","SABADO","2023-06-03",17,"Hurto","Hurto total","NO","NO","BALVANERA",3,"-34.609233","-58.391962",1
1368218,"2023","MARZO","VIERNES","2023-03-24",22,"Robo","Robo total","NO","NO","BALVANERA",3,"-34.609233","-58.391962",1
1368219,"2023","NOVIEMBRE","SABADO","2023-11-04",19,"Robo","Robo total","NO","NO","BALVANERA",3,"-34.609233","-58.391962",1
1368220,"2023","DICIEMBRE","DOMINGO","2023-12-10",12,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.60923145","-58.39192052",1
1368221,"2023","DICIEMBRE","LUNES","2023-12-11",19,"Hurto","Hurto total","NO","NO","MONSERRAT",1,"-34.60922043","-58.39069873",1
1368222,"2023","MAYO","MARTES","2023-05-02",11,"Robo","Robo total","NO","NO","SAN NICOLAS",1,"-34.609237","-58.391941",1
1368223,"2023","NOVIEMBRE","SABADO","2023-11-04",18,"Hurto","Hurto total","NO","NO","BALVANERA",3,"-34.609233","-58.391962",1
1368224,"2023","MARZO","MIERCOLES","2023-03-08",21,"Hurto","Hurto total","NO","NO","BALVANERA",3,"-34.609233","-58.391962",1
1368225,"2023","MARZO","MIERCOLES","2023-03-08",21,"Hurto","Hurto total","NO","NO","BALVANERA",3,"-34.609233","-58.391962",1
1368226,"2023","NOVIEMBRE","SABADO","2023-11-04",20,"Hurto","Hurto total","NO","NO","BALVANERA",3,"-34.609233","-58.391962",1
1368227,"2023","JULIO","MIERCOLES","2023-07-12",8,"Hurto","Hurto total","NO","NO","MONSERRAT",1,"-34.614245","-58.390427",1
1368228,"2023","DICIEMBRE","MARTES","2023-12-05",9,"Hurto","Hurto total","NO","NO","MONSERRAT",1,"-34.616075","-58.390428",1
1368229,"2023","ENERO","JUEVES","2023-01-26",10,"Robo","Robo total","NO","NO","MONSERRAT",1,"-34.61713","-58.390397",1
1368230,"2023","OCTUBRE","MIERCOLES","2023-10-18",8,"Robo","Robo total","NO","NO","MONSERRAT",1,"-34.617403","-58.390391",1
1368231,"2023","NOVIEMBRE","MIERCOLES","2023-11-01",14,"Hurto","Hurto total","NO","NO","MONSERRAT",1,"-34.61713","-58.390397",1
1368232,"2023","OCTUBRE","MARTES","2023-10-03",18,"Hurto","Hurto total","NO","NO","MONSERRAT",1,"-34.616786","-58.391",1
1368233,"2023","ENERO","DOMINGO","2023-01-22",20,"Robo","Robo total","NO","NO","MONSERRAT",1,"-34.616697","-58.390311",1
1368234,"2023","FEBRERO","VIERNES","2023-02-03",9,"Robo","Robo total","NO","NO","MONSERRAT",1,"-34.616805","-58.390368",1
1368235,"2023","ABRIL","LUNES","2023-04-17",13,"Robo","Robo total","NO","NO","MONSERRAT",1,"-34.61679","-58.390358",1
1368236,"2023","DICIEMBRE","SABADO","2023-12-16",9,"Robo","Robo total","NO","NO","MONSERRAT",1,"-34.61679","-58.390358",1
1368237,"2023","DICIEMBRE","VIERNES","2023-12-22",23,"Robo","Robo total","NO","NO","SAN NICOLAS",1,"-34.60542593","-58.39099795",1
1368238,"2023","DICIEMBRE","LUNES","2023-12-04",22,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.60543438","-58.39052588",1
1368239,"2023","MARZO","DOMINGO","2023-03-12",23,"Robo","Robo total","NO","NO","SAN NICOLAS",1,"-34.60502744","-58.39081844",1
1368240,"2023","SEPTIEMBRE","MARTES","2023-09-19",19,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.60502744","-58.39081844",1
1368241,"2023","OCTUBRE","VIERNES","2023-10-27",18,"Robo","Robo total","NO","NO","SAN NICOLAS",1,"-34.60520039","-58.39081448",1
1368242,"2023","OCTUBRE","SABADO","2023-10-14",5,"Robo","Robo total","NO","NO","SAN NICOLAS",1,"-34.604979","-58.390861",1
1368243,"2023","DICIEMBRE","SABADO","2023-12-30",20,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.60532071","-58.39013571",1
1368244,"2023","JULIO","DOMINGO","2023-07-02",4,"Hurto","Hurto total","NO","NO","FLORESTA",10,"-34.631298","-58.476181",1
1368245,"2023","ABRIL","VIERNES","2023-04-14",15,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.603654","-58.383673",1
1368246,"2023","JUNIO","VIERNES","2023-06-16",9,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.603427","-58.383784",1
1368247,"2023","MARZO","SABADO","2023-03-11",12,"Robo","Robo total","NO","NO","SAN NICOLAS",1,"-34.60353457","-58.38373701",1
1368248,"2023","OCTUBRE","JUEVES","2023-10-12",18,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.603712","-58.383174",1
1368249,"2023","SEPTIEMBRE","DOMINGO","2023-09-24",0,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.603712","-58.383174",1
1368250,"2023","FEBRERO","VIERNES","2023-02-03",22,"Hurto","Hurto total","NO","NO","SAN NICOLAS",1,"-34.603712","-58.383174",1
1368251,"2023","ENERO","VIERNES","2023-01-06",18,"Robo","Robo total","NO","NO","BOEDO",5,"-34.631658","-58.418399",1
