"id-mapa","anio","mes","dia","fecha","franja","tipo","subtipo","uso_arma","uso_moto","barrio","comuna","latitud","longitud","cantidad"
500001,2016,"ENERO","MARTES","2016-01-26",21,"Robo","Robo total","NO","NO","VILLA REAL",10,-34.617667936,-58.5309609989999,1
500004,2016,"ENERO","MIERCOLES","2016-01-20",16,"Robo","Robo total","NO","NO","VILLA REAL",10,-34.620261641,-58.530737721,1
500007,2016,"ENERO","DOMINGO","2016-01-03",13,"Robo","Robo total","SI","NO","LINIERS",9,-34.64009416108105,-58.5298256047288,1
500010,2016,"ENERO","SABADO","2016-01-09",17,"Robo","Robo total","NO","NO","LINIERS",9,-34.64009416108105,-58.5298256047288,1
500013,2016,"ENERO","LUNES","2016-01-25",18,"Robo","Robo total","NO","NO","LINIERS",9,-34.64009416108105,-58.5298256047288,1
500016,2016,"ENERO","VIERNES","2016-01-29",9,"Robo","Robo total","NO","NO","LINIERS",9,-34.64009416108105,-58.5298256047288,1
500019,2016,"ENERO","DOMINGO","2016-01-10",14,"Robo","Robo total","NO","NO","LINIERS",9,-34.64144981208105,-58.5297531187288,1
500022,2016,"ENERO","SABADO","2016-01-09",16,"Robo","Robo total","SI","NO","LINIERS",9,-34.63887448512626,-58.53005866271129,1
500025,2016,"ENERO","SABADO","2016-01-09",19,"Robo","Robo total","NO","NO","LINIERS",9,-34.63889449677026,-58.53006327367519,1
500028,2016,"ENERO","LUNES","2016-01-11",14,"Robo","Robo total","NO","NO","LINIERS",9,-34.63890716627495,-58.53004559025182,1
500031,2016,"ENERO","MARTES","2016-01-12",20,"Robo","Robo total","NO","NO","LINIERS",9,-34.63889449677026,-58.53006327367519,1
500034,2016,"ENERO","VIERNES","2016-01-15",5,"Robo","Robo total","NO","NO","LINIERS",9,-34.63889449677026,-58.53006327367519,1
500037,2016,"ENERO","MARTES","2016-01-19",16,"Robo","Robo total","NO","NO","LINIERS",9,-34.63889449677026,-58.53006327367519,1
500040,2016,"ENERO","MIERCOLES","2016-01-20",4,"Robo","Robo total","SI","NO","LINIERS",9,-34.63889449677026,-58.53006327367519,1
500043,2016,"ENERO","DOMINGO","2016-01-24",13,"Robo","Robo total","NO","NO","LINIERS",9,-34.63889409381547,-58.53001944533286,1
500046,2016,"ENERO","MARTES","2016-01-26",21,"Robo","Robo total","NO","NO","LINIERS",9,-34.63889449677026,-58.53006327367519,1
500049,2016,"ENERO","MIERCOLES","2016-01-13",20,"Robo","Robo total","NO","NO","LINIERS",9,-34.63891370250469,-58.530071735170765,1
500052,2016,"ENERO","LUNES","2016-01-18",13,"Robo","Robo total","NO","NO","VERSALLES",10,-34.632721916,-58.530075246,1
500055,2016,"ENERO","DOMINGO","2016-01-10",4,"Robo","Robo total","NO","NO","VERSALLES",10,-34.633720458,-58.529965923,1
500058,2016,"ENERO","VIERNES","2016-01-15",8,"Robo","Robo automotor","SI","NO","VILLA REAL",10,-34.6229020329999,-58.529953717,1
500061,2016,"ENERO","MARTES","2016-01-05",0,"Robo","Robo automotor","SI","NO","VERSALLES",10,-34.627562734,-58.529695589,1
500064,2016,"ENERO","MIERCOLES","2016-01-06",22,"Robo","Robo total","NO","NO","LINIERS",9,-34.638410243,-58.529681448,1
500067,2016,"ENERO","LUNES","2016-01-11",21,"Robo","Robo total","NO","NO","LINIERS",9,-34.638410243,-58.529681448,1
500070,2016,"ENERO","SABADO","2016-01-23",15,"Robo","Robo total","NO","NO","LINIERS",9,-34.638410243,-58.529681448,1
500073,2016,"ENERO","JUEVES","2016-01-28",11,"Robo","Robo total","NO","NO","LINIERS",9,-34.638410243,-58.529681448,1
500076,2016,"ENERO","MIERCOLES","2016-01-13",0,"Robo","Robo total","SI","NO","LINIERS",9,-34.639815831,-58.529677324,1
500079,2016,"ENERO","MIERCOLES","2016-01-20",1,"Robo","Robo total","NO","NO","LINIERS",9,-34.639815831,-58.529677324,1
500082,2016,"ENERO","DOMINGO","2016-01-24",14,"Robo","Robo total","NO","NO","LINIERS",9,-34.639815831,-58.529677324,1
500085,2016,"ENERO","DOMINGO","2016-01-31",12,"Robo","Robo total","SI","NO","LINIERS",9,-34.639815831,-58.529677324,1
500088,2016,"ENERO","DOMINGO","2016-01-10",19,"Robo","Robo total","NO","NO","LINIERS",9,-34.640969156,-58.529646059,1
500091,2016,"ENERO","LUNES","2016-01-04",17,"Robo","Robo total","NO","NO","LINIERS",9,-34.6412826489999,-58.529573801,1
500094,2016,"ENERO","MIERCOLES","2016-01-20",5,"Robo","Robo total","NO","NO","LINIERS",9,-34.643428217,-58.52943067,1
500097,2016,"ENERO","JUEVES","2016-01-28",5,"Robo","Robo total","NO","NO","LINIERS",9,-34.6431159599999,-58.529383271,1
500100,2016,"ENERO","MIERCOLES","2016-01-20",2,"Robo","Robo total","NO","NO","LINIERS",9,-34.645514695,-58.52930007,1
500103,2016,"ENERO","JUEVES","2016-01-21",13,"Robo","Robo total","NO","NO","VERSALLES",10,-34.6343540949999,-58.5292671239999,1
500106,2016,"ENERO","MIERCOLES","2016-01-27",12,"Robo","Robo total","NO","SI","LINIERS",9,-34.647075527,-58.529224256,1
500109,2016,"ENERO","DOMINGO","2016-01-03",19,"Robo","Robo total","NO","NO","VILLA REAL",10,-34.622662996,-58.5291573659999,1
500112,2016,"ENERO","JUEVES","2016-01-21",13,"Robo","Robo total","NO","NO","LINIERS",9,-34.6477758359999,-58.529122077,1
500115,2016,"ENERO","VIERNES","2016-01-29",10,"Robo","Robo total","NO","NO","LINIERS",9,-34.64545394,-58.529110663,1
500118,2016,"ENERO","SABADO","2016-01-09",6,"Robo","Robo total","NO","NO","VERSALLES",10,-34.632658519,-58.529012684,1
500121,2016,"ENERO","LUNES","2016-01-18",17,"Robo","Robo total","NO","NO","VILLA REAL",10,-34.617570929,-58.528925031,1
500124,2016,"ENERO","MIERCOLES","2016-01-06",23,"Robo","Robo total","NO","NO","LINIERS",9,-34.641534911,-58.5286607899999,1
500127,2016,"ENERO","JUEVES","2016-01-28",12,"Robo","Robo total","SI","NO","LINIERS",9,-34.635848097,-58.528638148,1
500130,2016,"ENERO","SABADO","2016-01-30",12,"Robo","Robo total","NO","NO","LINIERS",9,-34.6374514,-58.528526336,1
500133,2016,"ENERO","MIERCOLES","2016-01-20",16,"Robo","Robo total","NO","NO","LINIERS",9,-34.640009681,-58.5284931099999,1
500136,2016,"ENERO","SABADO","2016-01-09",20,"Robo","Robo total","NO","NO","LINIERS",9,-34.6379643289999,-58.528406269,1
500139,2016,"ENERO","DOMINGO","2016-01-17",12,"Robo","Robo total","NO","NO","LINIERS",9,-34.6379643289999,-58.528406269,1
500142,2016,"ENERO","VIERNES","2016-01-22",12,"Robo","Robo total","NO","NO","LINIERS",9,-34.6379643289999,-58.528406269,1
500145,2016,"ENERO","SABADO","2016-01-23",7,"Robo","Robo total","NO","NO","LINIERS",9,-34.6379643289999,-58.528406269,1
500148,2016,"ENERO","LUNES","2016-01-25",2,"Robo","Robo total","NO","NO","VILLA REAL",10,-34.624181493,-58.528399806,1
500151,2016,"ENERO","SABADO","2016-01-02",19,"Robo","Robo total","NO","NO","LINIERS",9,-34.638793278,-58.528302337,1
500154,2016,"ENERO","LUNES","2016-01-04",4,"Robo","Robo automotor","NO","NO","LINIERS",9,-34.638793278,-58.528302337,1
500157,2016,"ENERO","VIERNES","2016-01-15",18,"Robo","Robo total","NO","NO","LINIERS",9,-34.638793278,-58.528302337,1
500160,2016,"ENERO","VIERNES","2016-01-15",18,"Robo","Robo total","NO","NO","LINIERS",9,-34.638793278,-58.528302337,1
500163,2016,"ENERO","MARTES","2016-01-12",21,"Robo","Robo total","NO","NO","LINIERS",9,-34.638793278,-58.528302337,1
500166,2016,"ENERO","MIERCOLES","2016-01-20",18,"Robo","Robo total","NO","NO","LINIERS",9,-34.638793278,-58.528302337,1
500169,2016,"ENERO","LUNES","2016-01-25",3,"Robo","Robo total","SI","NO","LINIERS",9,-34.638793278,-58.528302337,1
500172,2016,"ENERO","MIERCOLES","2016-01-27",5,"Robo","Robo total","NO","NO","LINIERS",9,-34.638793278,-58.528302337,1
