"id-mapa","anio","mes","dia","fecha","franja","tipo","subtipo","uso_arma","uso_moto","barrio","comuna","latitud","longitud","cantidad"
500002,2017,"ENERO","DOMINGO","2017-01-01",12,"Robo","Robo total","NO","NO","CABALLITO",6,-34.6214096,-58.4384321,1
500005,2017,"ENERO","DOMINGO","2017-01-01",19,"Robo","Robo total","NO","NO","VILLA SANTA RITA",11,-34.6183514,-58.4731413,1
500008,2017,"ENERO","DOMINGO","2017-01-01",7,"Robo","Robo total","NO","NO","CABALLITO",6,-34.6242446,-58.4457537,1
500011,2017,"ENERO","DOMINGO","2017-01-01",12,"Robo","Robo total","NO","NO","PARQUE CHACABUCO",7,-34.635346,-58.4354817,1
500014,2017,"ENERO","DOMINGO","2017-01-01",10,"Robo","Robo total","NO","NO","CABALLITO",6,-34.6233955,-58.4408777,1
500017,2017,"ENERO","DOMINGO","2017-01-01",18,"Robo","Robo total","NO","NO","ALMAGRO",5,-34.6041217,-58.413187,1
500020,2017,"ENERO","DOMINGO","2017-01-01",20,"Robo","Robo total","SI","NO","ALMAGRO",5,-34.5989116,-58.4203534,1
500023,2017,"ENERO","DOMINGO","2017-01-01",21,"Robo","Robo total","NO","NO","NUÑEZ",13,-34.5437529,-58.4695878,1
500026,2017,"ENERO","DOMINGO","2017-01-01",19,"Robo","Robo total","NO","NO","BARRACAS",4,-34.6352069,-58.3737971,1
500029,2017,"ENERO","DOMINGO","2017-01-01",16,"Robo","Robo total","NO","NO","PALERMO",14,-34.5673177,-58.4380993,1
500032,2017,"ENERO","DOMINGO","2017-01-01",21,"Robo","Robo total","NO","NO","VILLA DEL PARQUE",11,-34.6039483,-58.4752498,1
500035,2017,"ENERO","DOMINGO","2017-01-01",0,"Robo","Robo total","NO","NO","PARQUE CHACABUCO",7,-34.6427842,-58.4442693,1
500038,2017,"ENERO","DOMINGO","2017-01-01",18,"Robo","Robo total","NO","NO","VILLA DEVOTO",11,-34.6068228,-58.5209345,1
500041,2017,"ENERO","DOMINGO","2017-01-01",19,"Robo","Robo total","NO","NO","COLEGIALES",13,-34.5715657,-58.4519377,1
500044,2017,"ENERO","DOMINGO","2017-01-01",12,"Robo","Robo total","NO","NO","BALVANERA",3,-34.6201804,-58.4100896,1
500047,2017,"ENERO","DOMINGO","2017-01-01",0,"Robo","Robo total","NO","SI",NULL,NULL,NULL,NULL,1
500050,2017,"ENERO","DOMINGO","2017-01-01",8,"Robo","Robo total","NO","NO",NULL,NULL,NULL,NULL,1
500053,2017,"ENERO","DOMINGO","2017-01-01",2,"Robo","Robo total","NO","NO","SAN NICOLAS",1,-34.6022115,-58.3752759,1
500056,2017,"ENERO","DOMINGO","2017-01-01",11,"Robo","Robo total","SI","NO","NUEVA POMPEYA",4,-34.6493144,-58.4044969,1
500059,2017,"ENERO","DOMINGO","2017-01-01",12,"Robo","Robo total","SI","NO","PARQUE PATRICIOS",4,-34.6457087,-58.4017042,1
500062,2017,"ENERO","DOMINGO","2017-01-01",5,"Robo","Robo total","SI","NO","SAN NICOLAS",1,-34.6002039,-58.3761148,1
500065,2017,"ENERO","DOMINGO","2017-01-01",1,"Robo","Robo total","NO","NO","PALERMO",14,-34.5898793,-58.420115,1
500068,2017,"ENERO","DOMINGO","2017-01-01",6,"Robo","Robo total","SI","NO","PARQUE CHACABUCO",7,-34.6311734,-58.442419,1
500071,2017,"ENERO","DOMINGO","2017-01-01",5,"Robo","Robo total","SI","NO","BALVANERA",3,-34.6086881,-58.4033976,1
500074,2017,"ENERO","DOMINGO","2017-01-01",6,"Robo","Robo total","NO","NO","MONSERRAT",1,-34.6166968,-58.3874776,1
500077,2017,"ENERO","DOMINGO","2017-01-01",2,"Robo","Robo total","NO","NO","BALVANERA",3,-34.6059569,-58.4097937,1
500080,2017,"ENERO","DOMINGO","2017-01-01",13,"Robo","Robo total","NO","NO","ALMAGRO",5,-34.6048799,-58.4212003,1
500083,2017,"ENERO","DOMINGO","2017-01-01",1,"Robo","Robo automotor","SI","NO","NUEVA POMPEYA",4,-34.6581796,-58.4257351,1
500086,2017,"ENERO","DOMINGO","2017-01-01",4,"Robo","Robo total","NO","NO","SAN NICOLAS",1,-34.6073985,-58.3920601,1
500089,2017,"ENERO","DOMINGO","2017-01-01",5,"Robo","Robo total","NO","NO","PALERMO",14,-34.5774004,-58.417267,1
500092,2017,"ENERO","DOMINGO","2017-01-01",21,"Robo","Robo total","NO","NO","BELGRANO",13,-34.5638585,-58.4523952,1
500095,2017,"ENERO","DOMINGO","2017-01-01",3,"Robo","Robo total","NO","NO","VILLA SOLDATI",8,-34.6651647,-58.4325431,1
500098,2017,"ENERO","DOMINGO","2017-01-01",14,"Robo","Robo total","SI","NO","CONSTITUCION",1,-34.6278595,-58.3828039,1
500101,2017,"ENERO","DOMINGO","2017-01-01",17,"Robo","Robo total","NO","NO","CONSTITUCION",1,-34.6270231,-58.3843546,1
500104,2017,"ENERO","DOMINGO","2017-01-01",10,"Robo","Robo total","NO","NO","NUÑEZ",13,-34.5447685,-58.4663155,1
500107,2017,"ENERO","DOMINGO","2017-01-01",18,"Robo","Robo total","NO","NO","BOCA",4,-34.6392988,-58.3636854,1
